Level,Unit,No.,Word,POS,Chinese Meaning
C1,1,1,backpack,n.,後背包
C1,1,2,bag,n.,袋子
C1,1,3,beautiful,adj.,漂亮的
C1,1,4,belt,n.,皮帶
C1,1,5,black,adj.,黑色的
C1,1,6,blouse,n.,(女用)襯衫
C1,1,7,blue,adj.,藍色的
C1,1,8,brown,adj.,棕色的
C1,1,9,button,n.,鈕扣;按鈕
C1,1,10,cap,n.,鴨舌帽
C1,1,11,clothes,n.,衣服
C1,1,12,coat,n.,大衣
C1,1,13,color,n.,顏色
C1,1,14,colorful,adj.,多采多姿的
C1,1,15,contact lens,n.,隱形眼鏡
C1,1,16,dress,n.,洋裝
C1,1,17,earrings,n.,耳環(複數)
C1,1,18,fancy,adj.,花俏的;高級的
C1,1,19,fashionable,adj.,時尚的
C1,1,20,fit,v.,合身;適合
C1,2,1,glasses,n.,眼鏡
C1,2,2,glove,n.,手套
C1,2,3,golden,adj.,金色的
C1,2,4,gray,adj.,灰色的
C1,2,5,green,adj.,綠色的
C1,2,6,handkerchief,n.,手帕
C1,2,7,hanger,n.,衣架;掛勾
C1,2,8,hat,n.,帽子
C1,2,9,iron,v.,熨燙
C1,2,10,iron,n.,鐵;熨斗
C1,2,11,jeans,n.,牛仔褲
C1,2,12,mask,n.,口罩
C1,2,13,necklace,n.,項鍊
C1,2,14,pajamas,n.,睡衣
C1,2,15,pants,n.,長褲
C1,2,16,pink,adj.,粉紅色的
C1,2,17,pocket,n.,口袋
C1,2,18,pretty,adj.,漂亮的
C1,2,19,purple,adj.,紫色的
C1,2,20,purse,n.,錢包
C1,2,21,red,adj.,紅色的
C1,2,22,ring,n.,戒指
C1,3,1,scarf,n.,圍巾
C1,3,2,shirt,n.,襯衫
C1,3,3,shoes,n.,鞋子
C1,3,4,shorts,n.,短褲
C1,3,5,silver,n./adj.,銀(的);銀白的
C1,3,6,skinny,adj.,瘦到皮包骨的
C1,3,7,skirt,n.,裙子
C1,3,8,slippers,n.,拖鞋(複數)
C1,3,9,sneakers,n.,球鞋(複數)
C1,3,10,socks,n.,襪子
C1,3,11,suit,v.,使適合
C1,3,12,suit,n.,套裝;訴訟
C1,3,13,sweater,n.,毛衣
C1,3,14,swimsuit,n.,泳裝
C1,3,15,T-shirt,n.,T 恤衫
C1,3,16,tie,n.,領帶
C1,3,17,trousers,n.,長褲(英式說法)
C1,3,18,underwear,n.,內衣
C1,3,19,uniform,n.,制服
C1,3,20,vest,n.,背心
C1,3,21,wallet,n.,皮夾
C1,3,22,watch,n.,錶
C1,3,23,wear,v.,穿著;戴著
C1,3,24,white,adj.,白色的
C1,3,25,yellow,adj.,黃色的
C1,4,1,action,n.,活動;行動
C1,4,2,address,n.,地址;演講
C1,4,3,advice,n.,忠告;勸告
C1,4,4,all,n./adj.,全部(的)
C1,4,5,army,n.,軍隊;大群
C1,4,6,attention,n.,注意;專心
C1,4,7,beginning,n.,開始
C1,4,8,bomb,n.,炸彈
C1,4,9,both,n.,兩方
C1,4,10,bottom,n.,底部
C1,4,11,branch,n.,樹枝;分店
C1,4,12,brick,n.,磚頭
C1,4,13,care,n.,關心;看護
C1,4,14,case,n.,案件
C1,4,15,cause,n.,原因
C1,4,16,center,n.,中心;中央
C1,4,17,chance,n.,運氣;機會
C1,4,18,choice,n.,抉擇
C1,4,19,command,n.,命令
C1,4,20,courage,n.,勇氣
C1,4,21,crime,n.,罪;犯罪行為
C1,4,22,current,n.,水流;電流
C1,5,1,danger,n.,危險
C1,5,2,decision,n.,決定
C1,5,3,desire,n.,渴望
C1,5,4,difference,n.,差別
C1,5,5,difficulty,n.,難處
C1,5,6,edge,n.,邊緣;優勢
C1,5,7,effort,n.,努力
C1,5,8,end,n.,末端;結束
C1,5,9,energy,n.,精力;能量
C1,5,10,engine,n.,引擎
C1,5,11,error,n.,錯誤;差錯
C1,5,12,event,n.,事件
C1,5,13,example,n.,例子
C1,5,14,excuse,n.,藉口
C1,5,15,experience,n.,經驗
C1,5,16,express,n.,快遞
C1,5,17,fact,n.,事實
C1,5,18,fair,n.,展覽會
C1,5,19,fault,n.,過錯
C1,5,20,freedom,n.,自由
C1,5,21,friendship,n.,友誼
C1,5,22,front,n.,前面;正面
C1,6,1,general,n.,將軍
C1,6,2,gesture,n.,姿勢;手勢
C1,6,3,goal,n.,目標;球門
C1,6,4,habit,n.,習慣
C1,6,5,handle,n.,把手
C1,6,6,hole,n.,洞
C1,6,7,hunger,n.,饑餓
C1,6,8,idea,n.,主意
C1,6,9,importance,n.,重要性
C1,6,10,influence,n.,影響
C1,6,11,invitation,n.,邀請
C1,6,12,item,n.,項目
C1,6,13,jam,n.,果醬;擁塞
C1,6,14,joke,n.,笑話
C1,6,15,kiss,n.,親吻
C1,6,16,law,n.,法律
C1,6,17,level,n.,程度
C1,6,18,liquid,n.,液體
C1,7,1,machine,n.,機器
C1,7,2,manner,n.,方法;態度
C1,7,3,mark,n.,記號
C1,7,4,mass,n.,團;塊
C1,7,5,meaning,n.,意思;意涵
C1,7,6,memory,n.,記憶
C1,7,7,metal,n.,金屬
C1,7,8,mistake,n.,錯誤;過失
C1,7,9,moment,n.,瞬間;片刻
C1,7,10,motion,n.,動作
C1,7,11,noise,n.,噪音
C1,7,12,object,n.,物體
C1,7,13,opinion,n.,意見
C1,7,14,order,n.,命令;秩序
C1,8,1,part,n.,一部份
C1,8,2,pattern,n.,格式;花樣
C1,8,3,peace,n.,和平
C1,8,4,point,n.,看法;點
C1,8,5,poison,n.,毒藥
C1,8,6,powder,n.,粉
C1,8,7,power,n.,力量
C1,8,8,pressure,n.,壓力
C1,8,9,principle,n.,原則;(行為)準則
C1,8,10,prize,n.,獎賞;獎品
C1,8,11,production,n.,產品
C1,8,12,progress,n.,進步
C1,8,13,purpose,n.,目的
C1,8,14,puzzle,n.,猜謎
