Level,Unit,No.,Word,POS,Chinese Meaning
C2,1,1,apple,n.,蘋果
C2,1,2,banana,n.,香蕉
C2,1,3,barbecue,n.,烤肉
C2,1,4,bean,n.,豆
C2,1,5,beef,n.,牛肉
C2,1,6,beer,n.,啤酒
C2,1,7,bread,n.,麵包
C2,1,8,breakfast,n.,早餐
C2,1,9,brunch,n.,早午餐
C2,1,10,buffet,n.,自助餐
C2,1,11,bun,n.,小圓麵包
C2,1,12,burger,n.,漢堡
C2,1,13,butter,n.,奶油
C2,2,1,cabbage,n.,高麗菜
C2,2,2,cafeteria,n.,自助餐館
C2,2,3,cake,n.,蛋糕
C2,2,4,candy,n.,糖果
C2,2,5,carrot,n.,紅蘿蔔
C2,2,6,cereal,n.,麥片
C2,2,7,cheese,n.,乳酪
C2,2,8,chocolate,n.,巧克力
C2,2,9,coffee,n.,咖啡
C2,2,10,cola,n.,可樂
C2,2,11,cook,n.,廚師
C2,2,12,cook,v.,煮
C2,2,13,cookie,n.,餅乾
C2,2,14,corn,n.,玉米
C2,2,15,cream,n.,鮮奶油;護膚霜
C2,3,1,delicious,adj.,美味的
C2,3,2,desk,n.,桌子
C2,3,3,dessert,n.,甜點
C2,3,4,diet,v.,節食
C2,3,5,diet,n.,飲食
C2,3,6,dining room,n.,飯廳
C2,3,7,dinner,n.,晚餐
C2,3,8,dish,n.,盤子
C2,3,9,doughnut,n.,甜甜圈
C2,3,10,drink,v.,喝
C2,3,11,drink,n.,飲料
C2,3,12,dumpling,n.,餃子
C2,4,1,eat,v.,吃
C2,4,2,egg,n.,蛋
C2,4,3,flour,n.,麵粉
C2,4,4,food,n.,食物
C2,4,5,fork,n.,叉子
C2,4,6,freezer,n.,冰箱;冷藏箱
C2,4,7,French fries,n.,薯條
C2,4,8,fruit,n.,水果
C2,4,9,fry,v.,油煎;油炸;炒
C2,4,10,grape,n.,葡萄
C2,4,11,guava,n.,芭樂
C2,4,12,ham,n.,火腿
C2,4,13,hamburger,n.,漢堡
C2,4,14,honey,n.,蜂蜜
C2,4,15,hot dog,n.,熱狗
C2,4,16,ice cream,n.,冰淇淋
C2,4,17,juice,n.,果汁
C2,4,18,ketchup,n.,番茄醬
C2,4,19,knife,n.,刀子
C2,5,1,lemon,n.,檸檬
C2,5,2,lettuce,n.,萵苣
C2,5,3,lick,v.,舔
C2,5,4,lunch,n.,午餐
C2,5,5,mango,n.,芒果
C2,5,6,meal,n.,一餐;膳食
C2,5,7,meat,n.,肉
C2,5,8,menu,n.,菜單
C2,5,9,microwave,n.,微波爐
C2,5,10,milk,n.,牛奶
C2,5,11,napkin,n.,餐巾紙
C2,5,12,noodle,n.,麵
C2,5,13,nut,n.,堅果;瘋子
C2,5,14,oil,n.,油
C2,5,15,onion,n.,洋蔥
C2,5,16,orange,n./adj.,柳橙;橘色的
C2,5,17,order,v.,點餐
C2,5,18,oven,n.,烤箱
C2,6,1,pan,n.,平底鍋
C2,6,2,papaya,n.,木瓜
C2,6,3,peach,n.,桃子
C2,6,4,pear,n.,梨子
C2,6,5,pepper,n.,胡椒;胡椒粉
C2,6,6,picnic,n.,野餐
C2,6,7,pie,n.,派
C2,6,8,pineapple,n.,鳳梨
C2,6,9,pizza,n.,披薩
C2,6,10,popcorn,n.,爆米花
C2,6,11,pork,n.,豬肉
C2,6,12,pot,n.,鍋子
C2,6,13,potato,n.,馬鈴薯
C2,6,14,produce,n.,農產品
C2,6,15,pumpkin,n.,南瓜
C2,6,16,refrigerator,n.,冰箱
C2,6,17,restaurant,n.,餐廳
C2,6,18,rice,n.,飯(米)
C2,7,1,salad,n.,沙拉
C2,7,2,salt,n.,鹽
C2,7,3,sandwich,n.,三明治
C2,7,4,saucer,n.,醬料碟
C2,7,5,seafood,n.,海鮮
C2,7,6,serve,v.,提供(食物或飲料);服務
C2,7,7,snack,n.,點心
C2,7,8,soda,n.,蘇打水;汽水
C2,7,9,soft drink,n.,汽水
C2,7,10,soup,n.,湯
C2,7,11,soy sauce,n.,醬油
C2,7,12,spaghetti,n.,義大利麵
C2,7,13,spoon,n.,湯匙
C2,7,14,steak,n.,牛排
C2,7,15,steam,v./n.,蒸;蒸氣
C2,7,16,stove,n.,爐灶
C2,7,17,straw,n.,吸管;稻草
C2,7,18,strawberry,n.,草莓
C2,7,19,sugar,n.,糖
C2,7,20,supper,n.,晚餐
C2,7,21,swallow,v.,吞嚥
C2,8,1,table,n.,桌子
C2,8,2,tangerine,n.,橘子
C2,8,3,tea,n.,茶
C2,8,4,teapot,n.,茶壺
C2,8,5,thirsty,adj.,口渴的
C2,8,6,tip,n.,小費;尖端;秘訣
C2,8,7,toast,n.,吐司麵包
C2,8,8,tofu,n.,豆腐
C2,8,9,tomato,n.,番茄
C2,8,10,vegetable,n.,蔬菜
C2,8,11,vinegar,n.,醋
C2,8,12,watermelon,n.,西瓜
C2,8,13,wok,n.,(帶把的中國)炒菜鍋
C2,8,14,yummy,adj.,好吃的
C2,9,1,album,n.,相簿;專輯
C2,9,2,box,n.,盒子
C2,9,3,cage,n.,籠子
C2,9,4,calendar,n.,日(月)曆;行事曆
C2,9,5,cellphone,n.,手機
C2,9,6,chess,n.,西洋棋
C2,9,7,comic,n.,漫畫
C2,9,8,crayon,n.,蠟筆
C2,9,9,diamond,n.,鑽石
C2,9,10,doll,n.,洋娃娃
C2,9,11,envelope,n.,信封
C2,9,12,flag,n.,旗子
C2,9,13,flashlight,n.,手電筒
C2,10,1,glue,n.,膠水
C2,10,2,gun,n.,槍
C2,10,3,key,n.,鑰匙
C2,10,4,kite,n.,風箏
C2,10,5,lantern,n.,燈籠
C2,10,6,magazine,n.,雜誌
C2,10,7,map,n.,地圖
C2,10,8,mat,n.,草蓆
C2,10,9,medicine,n.,藥物
C2,10,10,needle,n.,針
C2,10,11,net,n.,網子
C2,10,12,newspaper,n.,報紙
C2,11,1,package,n.,包裹
C2,11,2,paper,n.,紙張
C2,11,3,paste,n.,漿糊
C2,11,4,pen,n.,筆
C2,11,5,pin,n.,大頭針;別針
C2,11,6,pipe,n.,管子
C2,11,7,postcard,n.,明信片
C2,11,8,raincoat,n.,雨衣
C2,11,9,rope,n.,繩索
C2,11,10,sheet,n.,一張(紙);被單
C2,11,11,stamp,n.,郵票
C2,11,12,thing,n.,東西;事物
C2,11,13,ticket,n.,票券
C2,11,14,toy,n.,玩具
C2,11,15,tube,n.,管子
C2,11,16,umbrella,n.,雨傘
C2,11,17,wheel,n.,輪胎
C2,12,1,animal,n.,動物
C2,12,2,ant,n.,螞蟻
C2,12,3,bark,v./n. ,吠;狗叫聲
C2,12,4,bat,n.,蝙蝠
C2,12,5,bear,n.,熊
C2,12,6,bee,n.,蜜蜂
C2,12,7,bird,n.,鳥
C2,12,8,bite,v.,咬;叮
C2,12,9,bug,n.,蟲子
C2,12,10,butterfly,n.,蝴蝶
C2,12,11,cat,n.,貓
C2,12,12,chicken,n.,小雞;雞肉
C2,12,13,coast,n.,海岸
C2,12,14,cockroach,n.,蟑螂
C2,12,15,cotton,n.,棉花
C2,12,16,cow,n.,母牛;奶牛
C2,12,17,crab,n.,螃蟹
C2,13,1,deer,n.,鹿
C2,13,2,desert,n.,沙漠
C2,13,3,dinosaur,n.,恐龍
C2,13,4,dog,n.,狗
C2,13,5,dolphin,n.,海豚
C2,13,6,donkey,n.,驢子
C2,13,7,duck,n.,鴨子
C2,13,8,eagle,n.,老鷹
C2,13,9,earth,n.,地球
C2,13,10,earthquake,n.,地震
C2,13,11,elephant,n.,大象
C2,13,12,environment,n.,環境
C2,14,1,female,n.,雌性動物
C2,14,2,fire,n.,火
C2,14,3,fish,n.,魚
C2,14,4,flower,n.,花
C2,14,5,forest,n.,森林
C2,14,6,fox,n.,狐狸
C2,14,7,frog,n.,青蛙
C2,14,8,goat,n.,山羊
