Level,Unit,No.,Word,POS,Chinese Meaning
C3,1,1,air conditioner,n.,冷氣機
C3,1,2,alarm,n.,鬧鐘;警鈴
C3,1,3,armchair,n.,扶手椅
C3,1,4,bake,v.,烤
C3,1,5,balcony,n.,陽台
C3,1,6,basement,n.,地下室
C3,1,7,basket,n.,籃子
C3,1,8,bath,n.,沐浴
C3,1,9,bathe,v.,把…浸入;為…洗澡
C3,1,10,bathroom,n.,浴室
C3,1,11,bed,n.,床
C3,1,12,bedroom,n.,臥室
C3,1,13,bench,n.,長椅
C3,1,14,blanket,n.,毯子
C3,1,15,boil,v.,沸騰;煮沸
C3,1,16,bookcase,n.,書架
C3,1,17,bottle,n.,瓶子
C3,1,18,bowl,n.,碗
C3,1,19,brush,v./n.,刷(子)
C3,1,20,bucket,n.,水桶
C3,1,21,build,v.,蓋(房子)
C3,1,22,building,n.,建築物;房屋
C3,2,1,can,n.,罐頭;桶子
C3,2,2,carpet,n.,地毯
C3,2,3,ceiling,n.,天花板
C3,2,4,chopsticks,n.,筷子
C3,2,5,clock,n.,時鐘
C3,2,6,closet,n.,衣櫥
C3,2,7,couch,n.,沙發
C3,2,8,cup,n.,杯子
C3,2,9,curtain,n.,窗簾;(舞臺上的)幕
C3,2,10,decorate,v.,裝飾;布置
C3,2,11,design,v./n.,設計
C3,2,12,dirty,adj.,骯髒的
C3,2,13,door,n.,門
C3,2,14,drawer,n.,抽屜
C3,2,15,dresser,n.,梳妝台
C3,2,16,dryer,n.,烘乾機
C3,3,1,electric,adj.,電的
C3,3,2,fan,n.,電扇;歌迷;粉絲
C3,3,3,faucet,n.,水龍頭
C3,3,4,fence,n.,柵欄;籬笆
C3,3,5,floor,n.,地板
C3,3,6,furniture,n.,家具
C3,3,7,garage,n.,車庫
C3,3,8,garbage,n.,垃圾
C3,3,9,garden,n.,花園
C3,3,10,gas,n.,瓦斯;氣體
C3,3,11,gate,n.,大門
C3,3,12,glass,n.,玻璃杯
C3,3,13,hall,n.,大廳;走廊
C3,3,14,heater,n.,暖氣機
C3,3,15,home,n.,家
C3,3,16,house,n.,房子
C3,3,17,housework,n.,家事
C3,4,1,kitchen,n.,廚房
C3,4,2,lamp,n.,檯燈
C3,4,3,lid,n.,蓋子
C3,4,4,lift,n.,電梯
C3,4,5,light,n.,燈光;光線
C3,4,6,living room,n.,客廳
C3,4,7,locker,n.,(加鎖的)置物櫃
C3,4,8,mirror,n.,鏡子
C3,4,9,mop,v./n.,拖地;拖把
C3,4,10,pillow,n.,枕頭
C3,4,11,plate,n.,盤子
C3,4,12,radio,n.,收音機
C3,4,13,restroom,n.,洗手間
C3,4,14,roof,n.,屋頂
C3,4,15,room,n.,房間
C3,5,1,shelf,n.,架子
C3,5,2,shower,n.,陣雨;淋浴
C3,5,3,sink,n.,水槽
C3,5,4,slice,v./n.,(切成)薄片
C3,5,5,soap,n.,肥皂
C3,5,6,sofa,n.,沙發
C3,5,7,stairs,n.,樓梯
C3,5,8,store,v.,貯存
C3,5,9,sweep,v./n.,清掃
C3,5,10,telephone,n.,電話
C3,5,11,television (TV),n.,電視
C3,5,12,toilet,n.,馬桶
C3,5,13,toothbrush,n.,牙刷
C3,5,14,towel,n.,毛巾
C3,5,15,trash,n.,垃圾
C3,5,16,tub,n.,浴缸;澡盆
C3,5,17,wall,n.,牆壁
C3,5,18,window,n.,窗戶
C3,5,19,yard,n.,庭院
C3,6,1,advertisement,n.,廣告
C3,6,2,age,n.,年齡
C3,6,3,bill,n.,帳單;紙鈔
C3,6,4,broadcast,v./n.,廣播(節目)
C3,6,5,buy,v.,購買
C3,6,6,cable,n.,電纜線;有線電視
C3,6,7,camera,n.,相機
C3,6,8,cartoon,n.,卡通
C3,6,9,cash,v./n.,兌現;現金
C3,6,10,cent,n.,一分
C3,6,11,channel,n.,頻道;管道
C3,6,12,charge,v.,充電;索費
C3,6,13,charge,n.,收費
C3,6,14,cheap,adj.,便宜的
C3,6,15,coin,n.,硬幣
C3,6,16,comb,n./v.,梳子; 梳
C3,6,17,cost,v.,花費
C3,6,18,credit card,n.,信用卡
C3,6,19,culture,n.,文化
C3,6,20,custom,n.,習俗
C3,7,1,death,n.,死亡
C3,7,2,die,v.,死
C3,7,3,dollar,n.,元
C3,7,4,drama,n.,戲劇
C3,7,5,duty,n.,義務;關稅
C3,7,6,expensive,adj.,昂貴的
C3,7,7,fee,n.,費用
C3,7,8,film,n.,底片;電影
C3,7,9,free,adj.,自由的;免費的
C3,7,10,income,n.,收入
C3,7,11,life,n.,生活
C3,7,12,live,adj.,現場的;直播的
C3,7,13,marry,v.,結婚
C3,7,14,money,n.,錢
C3,7,15,news,n.,新聞;消息
C3,8,1,pay,v.,支付;付帳
C3,8,2,photo,n.,相片
C3,8,3,picture,n.,照片;圖片
C3,8,4,pound,n.,磅(重量);英鎊
C3,8,5,price,n.,價格
C3,8,6,program,n.,節目
C3,8,7,record,v./n.,錄音;唱片
C3,8,8,rent,v./n.,出租;租金
C3,8,9,scene,n.,景色;場面
C3,8,10,sell,v.,出售;賣出
C3,8,11,sleep,v.,睡
C3,8,12,spend,v.,花(錢、時間)
C3,8,13,tape,n.,錄音帶;膠帶
C3,8,14,video,n.,影像;影片
C3,8,15,wedding,n.,婚禮
C3,9,1,alphabet,n.,字母
C3,9,2,answer,n.,回答
C3,9,3,art,n.,美術
C3,9,4,beginner,n.,初學者
C3,9,5,bell,n.,鈴
C3,9,6,biology,n.,生物學
C3,9,7,blackboard,n.,黑板
C3,9,8,book,n.,書本
C3,9,9,campus,n.,校園
C3,9,10,chair,n.,椅子
C3,9,11,chalk,n.,粉筆
C3,9,12,chemistry,n.,化學
C3,9,13,Chinese,n.,中文
C3,9,14,club,n.,俱樂部;社團
C3,9,15,college,n.,學院;大學
C3,9,16,conversation,n.,對話
C3,9,17,course,n.,課程;路線
C3,9,18,diary,n.,日記
C3,9,19,dictionary,n.,字典
C3,9,20,discussion,n.,討論
C3,9,21,education,n.,教育
C3,9,22,elementary school,n.,小學
C3,9,23,English,n.,英文
C3,9,24,eraser,n.,橡皮擦
C3,9,25,exam,n.,考試
C3,10,1,degree,n.,度;學位
C3,10,2,geography,n.,地理學
C3,10,3,grade,n.,成績;年級
C3,10,4,group,n.,小組
C3,10,5,history,n.,歷史
C3,10,6,homework,n.,功課
C3,10,7,ink,n.,墨水
C3,10,8,junior high school,n.,國中
C3,10,9,kindergarten,n.,幼稚園
C3,10,10,language,n.,語言
C3,10,11,learn,v.,學習
C3,10,12,lesson,n.,功課;課業
C3,10,13,major,n.,主修
C3,10,14,marker,n.,麥克筆
C3,10,15,mathematics,n.,數學=math
C3,10,16,minor,n.,副修
C3,11,1,note,n.,筆記;摘要
C3,11,2,notebook,n.,筆記本
C3,11,3,novel,n.,小說
C3,11,4,page,n.,頁
C3,11,5,pencil,n.,鉛筆
C3,11,6,physical education (PE),n.,體育(=PE)
C3,11,7,physics,n.,物理學
C3,11,8,poem,n.,詩
C3,11,9,pronounce,v.,發...音
C3,11,10,quiz,n.,測驗;小考
C3,11,11,review,v./n.,複習
C3,11,12,ruler,n.,尺
C3,12,1,school,n.,學校
C3,12,2,science,n.,科學
C3,12,3,score,v./n.,得分;分數
C3,12,4,semester,n.,學期
C3,12,5,senior high school,n.,高中
C3,12,6,sentence,n.,句子
C3,12,7,stationery,n.,文具
C3,12,8,story,n.,故事
C3,12,9,study,v.,學習
C3,12,10,style,n.,風格;文體
C3,12,11,subject,n.,科目
C3,12,12,term,n.,期限;學期
C3,12,13,test,n.,測試;小考
