Level,Unit,No.,Word,POS,Chinese Meaning
C4,1,1,accident,n.,車禍;意外事件
C4,1,2,airlines,n.,航線;航空公司
C4,1,3,airplane,n.,飛機
C4,1,4,ambulance,n.,救護車
C4,1,5,bicycle,n.,單車
C4,1,6,board,v.,上(交通工具);
C4,1,7,board,n.,木板
C4,1,8,boat,n.,小船
C4,1,9,bus,n.,公車
C4,1,10,car,n.,汽車
C4,1,11,drive,v.,駕駛
C4,1,12,flat tire,n.,爆胎
C4,1,13,flight,n.,飛機班次
C4,1,14,helicopter,n.,直昇機
C4,1,15,jeep,n.,吉普車
C4,2,1,metro,n.,地鐵
C4,2,2,motorcycle,n.,摩托車
C4,2,3,MRT,n.,捷運
C4,2,4,pack,v.,打包;裝箱
C4,2,5,park,v.,停車
C4,2,6,parking lot,n.,停車場
C4,2,7,platform,n.,月台;平台
C4,2,8,railroad,n.,鐵路
C4,2,9,railway,n.,鐵路
C4,2,10,ride,v.,騎
C4,2,11,road,n.,道路
C4,2,12,row,v.,划(船)
C4,2,13,row,n.,排;列
C4,3,1,sail,v.,揚帆;航行
C4,3,2,scooter,n.,機車
C4,3,3,seat,n.,座位
C4,3,4,ship,n.,大船
C4,3,5,sidewalk,n.,人行道
C4,3,6,speed,n.,速度
C4,3,7,station,n.,車站
C4,3,8,stop,n.,公車站牌
C4,3,9,subway,n.,地鐵;地下道
C4,3,10,taxi,n.,計程車
C4,3,11,traffic,n.,交通
C4,3,12,train,n.,火車
C4,3,13,truck,n.,卡車
C4,3,14,tunnel,n.,隧道
C4,3,15,underpass,n.,地下道
C4,3,16,way,n.,道路
C4,4,1,abroad,adv.,到國外
C4,4,2,airport,n.,機場
C4,4,3,America,n.,美國
C4,4,4,apartment,n.,公寓
C4,4,5,area,n.,區域
C4,4,6,arrive,v.,到達
C4,4,7,bakery,n.,麵包店
C4,4,8,bank,n.,銀行
C4,4,9,beach,n.,海灘
C4,4,10,block,n.,街道
C4,4,11,bookstore,n.,書店
C4,4,12,bridge,n.,橋
C4,4,13,castle,n.,城堡
C4,4,14,China,n.,中國
C4,4,15,company,n.,公司
C4,4,16,convenience store,n.,便利商店
C4,4,17,corner,n.,轉角處;街角
C4,4,18,country,n.,國家
C4,4,19,court,n.,法庭;(網球等的)場地
C4,4,20,crowded,adj.,擁擠的
C4,5,1,department store,n.,百貨公司
C4,5,2,direction,n.,方向; 說明
C4,5,3,distance,n.,距離
C4,5,4,downtown,n.,市區;鬧區
C4,5,5,drugstore,n.,藥妝店
C4,5,6,east,n.,東方
C4,5,7,entrance,n.,入口
C4,5,8,exit,n.,出口
C4,5,9,factory,n.,工廠
C4,5,10,farm,n.,農場;飼養場
C4,5,11,foreign,adj.,外國的
C4,5,12,ground,n.,地面
C4,5,13,gym,n.,體育館
C4,5,14,highway,n.,公路;幹道
C4,5,15,hospital,n.,醫院
C4,5,16,hotel,n.,旅館;飯店
C4,5,17,international,adj.,國際的
C4,5,18,kingdom,n.,王國
C4,6,1,library,n.,圖書館
C4,6,2,local,adj.,本地的
C4,6,3,mall,n.,購物中心;商場
