Level,Unit,No. ,Word,POS,Chinese Meaning
6,1,1,accessible,adj.,可(或易) 接近的;可(或易)得到的
6,1,2,excessive,adj.,過度的;極度的
6,1,3,liable,adj.,易...的;可能的;負有法律責任的
6,1,4,whatsoever,adj.,不管什麼樣的;無論怎麼的
6,1,5,disperse,v.,驅散;解散;散佈
6,1,6,mobilize,v.,動員;調動 (美式拼寫)
6,1,7,obscure,v.,使變暗;遮掩;使難理解
6,1,8,script,v.,把...改編為劇本
6,1,9,coffin,n.,棺材;靈柩
6,1,10,component,n.,構成要素;零件;成分
6,1,11,corps,n.,兵團;部隊;團
6,1,12,implement,n.,工具;器具;裝備
6,1,13,initiative,n.,倡議;主動權
6,1,14,norm,n.,基準;規範;定額
6,1,15,overlap,n.,重疊
6,1,16,recommendation,n.,推薦;推薦信
6,1,17,span,n.,礅距;跨度;一段時間
6,1,18,spire,n.,尖塔;尖頂
6,1,19,spouse,n.,配偶
6,1,20,transition,n.,過渡;過渡時期;轉變
6,1,21,tyranny,n.,暴政;專制;暴虐
6,2,1,anonymous,adj.,匿名的
6,2,2,imposing,adj.,壯觀的;氣勢宏偉的;莊嚴的
6,2,3,miraculous,adj.,神奇的;奇蹟般的
6,2,4,preliminary,adj.,預備的;初步的
6,2,5,preventive,adj.,預防的;防病的
6,2,6,beckon,v.,(招手或點頭)示意;召喚
6,2,7,boost,v.,舉;抬;推動;促進
6,2,8,dedicate,v.,奉獻;獻身於;舉行落成典禮
6,2,9,diminish,v.,減少;減小;縮減
6,2,10,displace,v.,迫使離開;取代;免職
6,2,11,fret,v.,使苦惱;使煩躁
6,2,12,provoke,v.,對...挑釁;煽動;激怒
6,2,13,refund,v.,退還;歸還;償還
6,2,14,seduce,v.,誘惑;引誘
6,2,15,antonym,n.,反義字
6,2,16,dictation,n.,口述;聽寫
6,2,17,incentive,n.,鼓勵;動機
6,2,18,mimic,n.,善於模仿的人;滑稽劇演員
6,2,19,pipeline,n.,導管;輸油管
6,2,20,reliance,n.,信任;依賴
6,2,21,ridicule,n.,嘲笑;揶揄;奚落
6,2,22,transit,n.,運輸;通過;公共交通系統;轉變
6,2,23,veteran,n.,富有經驗的人;退役軍人 (縮寫為vet)
6,2,24,villa,n.,別墅;(城郊)住宅
6,3,1,imperative,adj.,必要的;命令式的;祈使法的
6,3,2,incentive,adj.,刺激的;鼓勵的;獎勵的
6,3,3,metropolitan,adj.,大都市的
6,3,4,patriotic,adj.,愛國的
6,3,5,regardless,adj.,不注意的;不留心的;不關心的
6,3,6,residential,adj.,居住的;住宅的
6,3,7,strategic,adj.,戰略的
6,3,8,assassinate,v.,暗殺;詆毀
6,3,9,comprise,v.,包括;由...組成
6,3,10,dictate,v.,口授;口述;
6,3,11,erode,v.,腐蝕;侵蝕;磨損
6,3,12,outfit,v.,裝備;配備;供給
6,3,13,stock,v.,給(商店)辦貨;貯存
6,3,14,transplant,v.,移植;移種
6,3,15,waterproof,v.,使不透水
6,3,16,accumulation,n.,累積;積聚
6,3,17,aptitude,n.,傾向;習性;天資
6,3,18,blunder,n.,大錯
6,3,19,breakdown,n.,故障;損壞;崩潰;分析
6,3,20,cavity,n.,洞;(身體的)腔;(牙的)蛀洞
6,3,21,commitment,n.,託付;交託; 承諾; 保證
6,3,22,dandruff,n.,頭皮屑
6,3,23,delinquent,n.,青少年罪犯;違法者
6,3,24,encyclopedia,n.,百科全書
6,3,25,fascination,n.,迷戀;陶醉
6,3,26,fleet,n.,艦隊;機群;車隊
6,3,27,inventory,n.,存貨清單
6,3,28,morale,n.,士氣;鬥志;道德
6,3,29,nominee,n.,被提名人
6,3,30,nourishment,n.,食物;營養品;養育;滋養
6,3,31,pamphlet,n.,小冊子
6,3,32,refund,n.,償還;退款
6,3,33,rite,n.,儀式;慣例
6,3,34,succession,n.,連續;一連串;繼承權
6,3,35,trauma,n.,外傷;傷口;(感情方面的)創傷
6,3,36,variation,n.,變化;變異
6,4,1,communicative,adj.,愛說話的;交際的
6,4,2,constituent,adj.,構成(全體)的;組成的;選舉的
6,4,3,random,adj.,胡亂的;隨機的
6,4,4,resistant,adj.,抵抗的
6,4,5,spacious,adj.,寬敞的;廣闊的
6,4,6,watertight,adj.,不透水的;無懈可擊的
6,4,7,witty,adj.,機智的;說話風趣的
6,4,8,amplify,v.,放大(聲音等);擴大
6,4,9,compensate,v.,補償;賠償;酬報
6,4,10,distort,v.,扭曲;曲解;變形
6,4,11,hunch,v.,隆起;彎成弓狀
6,4,12,thrive,v.,興旺;繁榮;茂盛生長
6,4,13,unfold,v.,展開;呈現
6,4,14,administrator,n.,管理人;行政官員
6,4,15,ambush,n.,埋伏;伏擊
6,4,16,dimension,n.,(長;寬;厚;高等的)尺寸;大小
6,4,17,documentary,n.,記錄影片
6,4,18,outlaw,n.,罪犯;亡命之徒
6,4,19,outset,n.,最初;開始;開端
6,4,20,radiator,n.,散熱器
